date,min_temp_c,max_temp_c,min_rh_pct,fems_gsi,fems_woody_pct,fems_herb_pct
2026-04-15,-5.5556,16.1111,16.0,0.05,60,30
2026-04-16,-6.1111,16.1111,16.0,0.05,60,30
2026-04-17,1.1111,13.8889,13.0,0.05,60,30
2026-04-18,-3.8889,16.6667,7.0,0.05,60,30
2026-04-19,-3.8889,20.5556,8.0,0.05,60,30
2026-04-20,-0.5556,21.1111,17.0,0.05,60,30
2026-04-21,-2.2222,20.5556,11.0,0.05,60,30
2026-04-22,1.1111,17.7778,11.0,0.05,60,30
2026-04-23,-7.7778,16.6667,12.0,0.05,60,30
2026-04-24,-7.7778,17.2222,15.0,0.07,60,30
2026-04-25,-5.5556,15.0000,16.0,0.07,60,30
2026-04-26,2.2222,10.5556,28.0,0.07,60,30
2026-04-27,-7.2222,13.8889,15.0,0.07,60,30
2026-04-28,-9.4444,16.6667,12.0,0.07,60,30
2026-04-29,-7.2222,18.3333,10.0,0.07,60,30
2026-04-30,-5.5556,19.4444,12.0,0.07,60,30
2026-05-01,-5.0000,18.8889,11.0,0.06,60,30
2026-05-02,-5.5556,21.6667,14.0,0.06,60,30
2026-05-03,-1.6667,20.0000,18.0,0.06,60,30
2026-05-04,5.5556,18.8889,21.0,0.06,60,30
2026-05-05,-0.5556,13.3333,31.0,0.06,60,30
2026-05-06,-6.6667,18.3333,17.0,0.05,60,30
2026-05-07,-5.0000,22.7778,7.0,0.05,60,30
2026-05-08,-2.7778,26.1111,7.0,0.05,60,30
2026-05-09,-1.6667,26.1111,8.0,0.05,60,30
2026-05-10,2.7778,26.1111,7.0,0.05,60,30
2026-05-11,-1.1111,28.3333,6.0,0.04,60,30
2026-05-12,1.1111,28.3333,8.0,0.04,60,30
2026-05-13,5.5556,27.7778,10.0,0.02,60,30
2026-05-14,-4.4444,23.3333,9.0,0.02,60,30
2026-05-15,-1.1111,24.4444,12.0,0.02,60,30
2026-05-16,-2.2222,23.8889,13.0,0.02,60,30
2026-05-17,-1.1111,20.5556,13.0,0.02,60,30
2026-05-18,6.1111,17.7778,21.0,0.02,60,30
2026-05-19,-6.1111,18.8889,15.0,0.02,60,30
2026-05-20,-6.6667,21.1111,10.0,0.02,60,30
2026-05-21,-4.4444,22.2222,7.0,0.02,60,30
2026-05-22,-3.3333,22.7778,8.0,0,60,30
2026-05-23,-2.7778,24.4444,10.0,0,60,30
2026-05-24,-0.5556,23.8889,13.0,0,60,30
2026-05-25,2.2222,23.8889,15.0,0,60,30
2026-05-26,3.8889,20.5556,21.0,0,60,30
2026-05-27,5.5556,18.8889,14.0,0,60,30
2026-05-28,7.7778,20.0000,15.0,0,60,30
2026-05-29,7.2222,18.8889,17.0,0,60,30
2026-05-30,-5.5556,21.6667,14.0,0,60,30
2026-05-31,-2.7778,25.0000,9.0,0,60,30
2026-06-01,-1.6667,26.1111,10.0,0,60,30
2026-06-02,0.5556,27.2222,10.0,0,60,30
2026-06-03,2.2222,28.8889,10.0,0,60,30
2026-06-04,2.2222,29.4444,7.0,0,60,30
2026-06-05,2.7778,29.4444,9.0,0,60,30
2026-06-06,1.6667,28.3333,9.0,0,60,30
2026-06-07,8.8889,25.5556,14.0,0,60,30
2026-06-08,2.7778,25.5556,7.0,0,60,30
2026-06-09,1.1111,26.6667,6.0,0,60,30
2026-06-10,-0.5556,29.4444,8.0,0,60,30
2026-06-11,3.3333,31.1111,10.0,0,60,30
2026-06-12,6.1111,30.0000,11.0,0,60,30
2026-06-13,13.3333,25.0000,24.0,0,60,30
2026-06-14,5.5556,27.7778,21.0,0,60,30
2026-06-15,7.2222,26.6667,22.0,0,60,30
2026-06-16,7.7778,31.1111,13.0,0.01,60,30
2026-06-17,6.6667,30.0000,14.0,0.03,60,30
2026-06-18,8.8889,28.8889,17.0,0.03,60,30
2026-06-19,5.0000,27.7778,9.0,0.04,60,30
2026-06-20,2.7778,28.3333,5.0,0.05,60,30
2026-06-21,-1.1111,28.8889,5.0,0.05,60,30
2026-06-22,-1.1111,30.0000,4.0,0.06,60,30
2026-06-23,5.0000,31.6667,7.0,0.06,60,30
2026-06-24,11.1111,27.7778,24.0,0.06,60,30
2026-06-25,9.4444,29.4444,23.0,0.06,60,30
2026-06-26,6.6667,28.3333,19.0,0.07,60,30
2026-06-27,16.1111,26.6667,6.0,0.08,60,30
2026-06-28,15.0000,25.0000,7.0,0.09,60,30
2026-06-29,-0.5556,25.5556,10.0,0.1,60,30
2026-06-30,5.0000,25.0000,6.0,0.12,60,30
2026-07-01,-1.6667,25.0000,6.0,0.12,60,30
2026-07-02,-1.1111,26.6667,6.0,0.13,60,30
