time,temperature_f,relative_humidity_pct,precipitation_in,solar_wm2,fems_tenhr_pct
2026-07-19T00:00:00Z,65,79,0,179,28.81
2026-07-19T01:00:00Z,66,81,0,163,27.28
2026-07-19T02:00:00Z,63,90,0,53,25.94
2026-07-19T03:00:00Z,59,99,0,4,26.07
2026-07-19T04:00:00Z,58,100,0,0,26.05
2026-07-19T05:00:00Z,62,91,0,0,26.41
2026-07-19T06:00:00Z,59,92,0,0,26.69
2026-07-19T07:00:00Z,59,97,0.01,0,27.24
2026-07-19T08:00:00Z,58,95,0,0,27.24
2026-07-19T09:00:00Z,58,95,0,0,27.24
2026-07-19T10:00:00Z,57,97,0,0,27.24
2026-07-19T11:00:00Z,55,100,0,0,27.24
2026-07-19T12:00:00Z,53,100,0,0,27.24
2026-07-19T13:00:00Z,56,99,0,24,27.24
2026-07-19T14:00:00Z,64,79,0,155,27.63
2026-07-19T15:00:00Z,69,65,0,336,27.61
2026-07-19T16:00:00Z,72,56,0,534,25.12
2026-07-19T17:00:00Z,75,53,0,721,22.3
2026-07-19T18:00:00Z,77,51,0,623,19.82
2026-07-19T19:00:00Z,79,46,0,958,17.71
2026-07-19T20:00:00Z,79,45,0,770,15.83
2026-07-19T21:00:00Z,70,82,0.1,352,19.51
2026-07-19T22:00:00Z,74,65,0,409,22.47
2026-07-19T23:00:00Z,75,61,0,389,22.17
2026-07-20T00:00:00Z,73,62,0,78,20.68
2026-07-20T01:00:00Z,71,66,0,89,19.75
2026-07-20T02:00:00Z,68,74,0,43,19.14
2026-07-20T03:00:00Z,63,90,0,6,19.27
2026-07-20T04:00:00Z,60,96,0,0,19.95
2026-07-20T05:00:00Z,60,96,0,0,21.31
2026-07-20T06:00:00Z,59,100,0,0,22.35
2026-07-20T07:00:00Z,56,100,0,0,23.08
2026-07-20T08:00:00Z,56,100,0,0,23.59
2026-07-20T09:00:00Z,56,100,0,0,23.98
2026-07-20T10:00:00Z,55,100,0,0,24.28
2026-07-20T11:00:00Z,54,100,0,0,24.5
2026-07-20T12:00:00Z,54,100,0,0,24.66
2026-07-20T13:00:00Z,57,100,0,32,24.8
2026-07-20T14:00:00Z,61,90,0,111,24.89
2026-07-20T15:00:00Z,72,63,0,344,24.72
2026-07-20T16:00:00Z,74,54,0,543,22.72
2026-07-20T17:00:00Z,77,49,0,713,20.35
2026-07-20T18:00:00Z,79,47,0,901,18.07
2026-07-20T19:00:00Z,81,45,0,880,16.09
2026-07-20T20:00:00Z,75,51,0,255,14.77
2026-07-20T21:00:00Z,67,83,0,33,14.62
2026-07-20T22:00:00Z,65,91,0.02,27,15.26
2026-07-20T23:00:00Z,66,85,0,160,20.79
2026-07-21T00:00:00Z,69,77,0,201,21.24
2026-07-21T01:00:00Z,69,54,0,145,21.29
2026-07-21T02:00:00Z,69,62,0,47,20.33
2026-07-21T03:00:00Z,64,80,0,6,19.9
2026-07-21T04:00:00Z,63,73,0,0,19.77
2026-07-21T05:00:00Z,61,83,0,0,19.77
2026-07-21T06:00:00Z,63,72,0,0,20.54
2026-07-21T07:00:00Z,62,81,0,0,21.06
2026-07-21T08:00:00Z,60,82,0,0,21.67
2026-07-21T09:00:00Z,61,81,0,0,22.59
2026-07-21T10:00:00Z,64,66,0,0,23
2026-07-21T11:00:00Z,62,74,0,0,23.04
2026-07-21T12:00:00Z,61,77,0,0,22.95
2026-07-21T13:00:00Z,60,83,0,6,22.94
2026-07-21T14:00:00Z,63,77,0,84,22.82
2026-07-21T15:00:00Z,66,66,0,193,22.35
2026-07-21T16:00:00Z,71,56,0,310,21.18
2026-07-21T17:00:00Z,72,54,0,408,19.63
2026-07-21T18:00:00Z,73,48,0,434,18.11
2026-07-21T19:00:00Z,78,42,0,957,16.49
2026-07-21T20:00:00Z,79,45,0,695,14.79
2026-07-21T21:00:00Z,65,76,0.12,282,17.54
2026-07-21T22:00:00Z,74,64,0,464,21.24
2026-07-21T23:00:00Z,75,51,0,621,20.84
2026-07-22T00:00:00Z,73,66,0,284,19.16
2026-07-22T01:00:00Z,73,55,0,198,18.09
2026-07-22T02:00:00Z,73,54,0,105,17.23
2026-07-22T03:00:00Z,61,87,0,5,17.1
2026-07-22T04:00:00Z,60,91,0,0,17.18
2026-07-22T05:00:00Z,60,94,0,0,18.99
2026-07-22T06:00:00Z,59,93,0,0,20.7
2026-07-22T07:00:00Z,59,94,0,0,21.91
2026-07-22T08:00:00Z,59,94,0,0,22.78
2026-07-22T09:00:00Z,59,95,0,0,23.43
2026-07-22T10:00:00Z,59,96,0,0,23.91
2026-07-22T11:00:00Z,59,97,0,0,24.26
2026-07-22T12:00:00Z,58,96,0,0,24.52
2026-07-22T13:00:00Z,58,99,0,16,24.71
2026-07-22T14:00:00Z,61,94,0,68,24.89
2026-07-22T15:00:00Z,68,72,0,207,24.91
2026-07-22T16:00:00Z,72,58,0,497,23.8
