time,temp_f,rh_pct,precip_in,wind_mph,solar_wm2,snow,fems_mc10,fems_mc100,fems_mc1000,fems_sc,fems_erc,fems_bi
2026-04-15T00:00:00Z,52,40,0,2,238,1,23.56,12.84,13.87,0,20.11,0
2026-04-15T01:00:00Z,50,42,0,4,281,1,23.71,12.88,13.87,0,20.03,0
2026-04-15T02:00:00Z,43,69,0,0,65,1,23.85,12.93,13.87,0,19.96,0
2026-04-15T03:00:00Z,41,83,0,1,0,1,23.97,12.98,13.87,0,19.88,0
2026-04-15T04:00:00Z,35,92,0,2,0,1,24.09,13.04,13.87,0,19.81,0
2026-04-15T05:00:00Z,31,92,0,0,0,1,24.19,13.09,13.86,0,19.74,0
2026-04-15T06:00:00Z,28,96,0,0,0,1,24.29,13.15,13.86,0,19.67,0
2026-04-15T07:00:00Z,27,96,0,0,0,1,24.37,13.22,13.86,0,19.6,0
2026-04-15T08:00:00Z,26,97,0,1,0,1,24.45,13.28,13.86,0,19.53,0
2026-04-15T09:00:00Z,25,96,0,0,0,1,24.53,13.35,13.86,0,19.47,0
2026-04-15T10:00:00Z,23,94,0,0,0,1,24.59,13.43,13.86,0,19.4,0
2026-04-15T11:00:00Z,23,94,0,0,0,1,24.65,13.5,13.86,0,19.34,0
2026-04-15T12:00:00Z,22,92,0,0,0,1,24.71,13.58,13.86,0,19.27,0
2026-04-15T13:00:00Z,22,92,0,0,4,1,24.76,13.66,13.86,0,19.21,0
2026-04-15T14:00:00Z,35,84,0,0,89,1,24.8,13.75,13.86,0,19.14,0
2026-04-15T15:00:00Z,46,62,0,1,296,1,24.84,13.83,13.85,0,19.08,0
2026-04-15T16:00:00Z,53,32,0,1,507,0,24.74,13.12,13.85,0,22.22,0
2026-04-15T17:00:00Z,53,31,0,5,705,0,23.04,13.23,13.85,1.13,26.38,14.36
2026-04-15T18:00:00Z,56,27,0,7,869,0,20.95,13.47,13.85,1.79,29.23,18.58
2026-04-15T19:00:00Z,56,25,0,5,879,0,19.31,13.85,13.85,1.64,31.03,18.37
2026-04-15T20:00:00Z,60,27,0,7,1083,0,18.2,14.32,13.84,2.13,32.09,21
2026-04-15T21:00:00Z,59,26,0,8,951,0,17.26,14.84,13.86,2.46,32.69,22.64
