time,m1,m10,m100,m1000,kbdi,wind_mph,fems_sc,fems_erc,fems_bi
2026-04-15T00:00:00Z,32.64,23.56,12.84,13.87,118,2,0,20.11,0
2026-04-15T03:00:00Z,32.64,23.97,12.98,13.87,118,1,0,19.88,0
2026-04-15T06:00:00Z,32.64,24.29,13.15,13.86,118,0,0,19.67,0
2026-04-15T09:00:00Z,32.64,24.53,13.35,13.86,117,0,0,19.47,0
2026-04-15T12:00:00Z,32.64,24.71,13.58,13.86,117,0,0,19.27,0
2026-04-15T15:00:00Z,32.64,24.84,13.83,13.85,117,1,0,19.08,0
2026-04-15T18:00:00Z,14.03,20.95,13.47,13.85,117,7,1.79,29.23,18.58
2026-04-15T21:00:00Z,8.45,17.26,14.84,13.86,117,8,2.46,32.69,22.64
2026-04-16T00:00:00Z,6.38,15.42,15.78,13.84,117,8,2.79,33.98,24.42
2026-04-16T03:00:00Z,7.12,14.3,16.07,13.83,117,3,1.68,33.93,19.33
2026-04-16T06:00:00Z,15.67,14.3,16.08,14,117,0,0.95,29.14,13.86
2026-04-16T09:00:00Z,20.43,14.25,16.07,14.03,118,0,0.64,26.82,11.14
2026-04-16T12:00:00Z,21.33,14.18,15.89,13.85,118,0,0.56,26.9,10.47
2026-04-16T15:00:00Z,18.02,14.15,15.94,13.86,118,9,1.73,28.45,18.08
2026-04-16T18:00:00Z,10.09,13.51,15.83,13.89,118,17,4.55,32.77,30.09
2026-04-16T21:00:00Z,6.87,12.37,15.99,13.96,118,18,5.74,34.75,34.4
2026-04-17T00:00:00Z,5.78,11.59,16.11,14.06,118,17,5.84,35.41,34.97
2026-04-17T03:00:00Z,6.67,11.08,16.01,14.12,118,3,1.74,35.11,19.96
2026-04-17T06:00:00Z,7.83,10.72,15.95,14.16,118,9,2.8,34.62,24.69
2026-04-17T09:00:00Z,8.98,10.68,15.89,14.18,119,4,1.67,34,19.29
2026-04-17T12:00:00Z,10.34,10.62,15.84,14.2,119,5,1.72,33.31,19.4
2026-04-17T15:00:00Z,11.21,10.42,15.78,14.09,119,13,3.31,33.21,26.14
2026-04-17T18:00:00Z,8.61,10.27,15.66,14.1,119,9,2.69,34.77,24.27
2026-04-17T21:00:00Z,6.65,9.78,15.36,14.1,119,10,3.29,36.32,27.18
2026-04-18T00:00:00Z,5.48,9.32,15.09,14.16,119,9,3.31,37.27,27.56
2026-04-18T03:00:00Z,5.1,9.07,14.98,14.21,119,5,2.37,37.6,23.76
2026-04-18T06:00:00Z,7.23,8.94,14.94,14.22,119,1,1.44,36.46,18.64
2026-04-18T09:00:00Z,9.04,8.85,14.9,14.23,120,5,1.83,35.5,20.54
2026-04-18T12:00:00Z,9.72,8.78,14.87,14.24,120,6,1.95,35.17,21.04
2026-04-18T15:00:00Z,8.51,8.71,14.83,14.25,120,10,2.95,35.89,25.69
2026-04-18T18:00:00Z,6.5,8.5,14.7,14.23,120,10,3.34,37.26,27.68
2026-04-18T21:00:00Z,4.96,8.1,14.42,14.18,120,9,3.47,38.7,28.68
2026-04-19T00:00:00Z,3.94,7.74,14.18,14.24,120,8,3.5,39.54,29.08
2026-04-19T03:00:00Z,4.06,7.71,14.07,14.28,120,1,1.87,39.5,21.78
2026-04-19T06:00:00Z,7.22,7.67,14.03,14.29,120,2,1.56,37.7,19.59
2026-04-19T09:00:00Z,11.16,7.67,14,14.28,121,2,1.28,35.53,17.43
2026-04-19T12:00:00Z,11.84,7.69,13.97,14.26,121,2,1.25,35.19,17.15
2026-04-19T15:00:00Z,10.06,7.61,13.93,14.25,121,8,2.31,36.27,23.07
2026-04-19T18:00:00Z,6.77,7.56,13.78,14.27,121,8,2.76,38.25,25.68
2026-04-19T21:00:00Z,5.36,7.22,13.47,14.3,121,7,2.82,39.44,26.28
2026-04-20T00:00:00Z,5.37,6.81,13.24,14.34,121,7,2.82,39.75,26.37
2026-04-20T03:00:00Z,7.44,6.83,13.11,14.3,121,0,1.37,38.72,18.72
2026-04-20T06:00:00Z,13.71,6.86,13.29,14.35,121,0,1.04,34.91,15.72
2026-04-20T09:00:00Z,16.92,7.19,13.26,14.35,123,0,0.9,33.07,14.34
2026-04-20T12:00:00Z,18.84,8.96,13.4,14.34,123,0,0.78,31.16,13.09
2026-04-20T15:00:00Z,15.58,10.13,12.96,14.26,123,4,1.28,32.83,16.81
2026-04-20T18:00:00Z,8.53,11.14,12.88,14.23,123,10,2.94,36.29,25.78
2026-04-20T21:00:00Z,6.03,10.1,12.78,14.17,123,10,3.45,38.44,28.5
2026-04-21T00:00:00Z,5.21,9.33,12.67,14.12,123,9,3.39,39.55,28.65
2026-04-21T03:00:00Z,6.17,8.93,12.59,14.08,123,1,1.56,39.35,19.98
2026-04-21T06:00:00Z,12.6,8.99,12.7,14.19,123,0,1.08,35.33,16.1
2026-04-21T09:00:00Z,16.46,8.93,12.68,14.18,126,0,0.92,33.31,14.54
2026-04-21T12:00:00Z,18.29,9.59,12.68,14.17,126,0,0.82,32.05,13.53
2026-04-21T15:00:00Z,15.05,10.4,12.49,14.04,126,8,1.9,33.81,20.42
2026-04-21T18:00:00Z,8.31,11.02,12.43,14.02,126,12,3.49,37.32,28.28
2026-04-21T21:00:00Z,5.34,10.16,12.34,13.97,126,16,5.71,39.68,36.46
2026-04-22T00:00:00Z,4.16,9.46,12.22,13.91,126,17,6.79,40.99,40.09
2026-04-22T03:00:00Z,4.73,9.01,12.16,13.88,126,8,3.24,41.01,28.54
2026-04-22T06:00:00Z,6.71,8.73,12.12,13.86,126,6,2.31,40.05,24.15
2026-04-22T09:00:00Z,7.94,8.87,12.08,13.85,128,4,1.77,39.32,21.2
